iter	Passed	Remaining
409	2923	4206
410	2925	4192
411	2953	4215
412	2955	4200
413	2958	4187
414	2964	4178
415	2966	4163
416	2967	4149
417	2969	4134
418	2971	4119
419	2973	4106
420	2982	4101
421	2984	4088
422	2986	4073
423	2987	4058
424	2989	4043
425	2990	4029
426	2991	4014
427	2993	4000
428	2995	3986
429	2997	3973
430	2999	3959
431	3001	3945
432	3092	4050
433	3108	4053
434	3111	4040
435	3115	4029
436	3118	4017
437	3120	4003
438	3121	3989
439	3123	3975
440	3124	3961
441	3126	3947
442	3128	3932
443	3129	3918
444	3131	3905
445	3137	3897
446	3141	3886
447	3144	3873
448	3145	3860
449	3147	3846
450	3148	3832
451	3149	3818
452	3151	3805
453	3152	3791
454	3154	3778
455	3155	3764
456	3157	3751
457	3158	3737
458	3160	3724
459	3161	3711
460	3164	3699
461	3167	3688
462	3168	3674
463	3170	3662
464	3248	3736
465	3254	3729
466	3256	3716
467	3258	3704
468	3260	3691
469	3262	3678
470	3263	3665
471	3265	3652
472	3267	3640
473	3269	3628
474	3271	3615
475	3273	3603
476	3274	3590
477	3277	3578
478	3278	3566
479	3280	3553
480	3283	3543
481	3288	3534
482	3290	3521
483	3292	3510
484	3294	3498
485	3296	3486
486	3327	3505
487	3366	3532
488	3396	3548
489	3398	3536
490	3400	3525
491	3402	3513
492	3404	3501
493	3406	3488
494	3407	3476
495	3410	3465
496	3411	3453
497	3413	3440
498	3415	3428
499	3417	3417
500	3418	3404
501	3419	3392
502	3421	3380
503	3423	3368
504	3424	3356
505	3426	3344
506	3427	3332
507	3429	3321
508	3430	3309
509	3432	3297
510	3434	3286
511	3435	3274
512	3437	3263
513	3439	3251
514	3440	3240
515	3442	3229
516	3489	3259
517	3565	3318
518	3570	3309
519	3571	3297
520	3573	3285
521	3574	3273
522	3578	3264
523	3580	3252
524	3582	3241
525	3583	3229
526	3585	3218
527	3587	3206
528	3588	3195
529	3589	3183
530	3593	3173
531	3595	3162
532	3596	3151
533	3600	3142
534	3602	3131
535	3604	3120
536	3607	3110
537	3608	3099
538	3609	3087
539	3610	3075
540	3612	3064
541	3613	3053
542	3637	3061
543	3713	3113
544	3716	3103
545	3724	3096
546	3726	3085
547	3727	3074
548	3729	3063
549	3730	3052
550	3731	3040
551	3733	3029
552	3735	3019
553	3739	3010
554	3741	3000
555	3743	2989
556	3744	2978
557	3746	2967
558	3748	2957
559	3749	2946
560	3751	2935
561	3753	2925
562	3755	2914
563	3756	2904
564	3758	2893
565	3759	2883
566	3761	2872
567	3763	2862
568	3764	2851
569	3768	2842
570	3792	2849
571	3805	2847
572	3808	2838
573	3821	2836
574	3830	2831
575	3833	2821
576	3838	2813
577	3840	2803
578	3844	2795
579	3847	2785
580	3903	2814
581	3916	2812
582	3925	2807
583	3928	2798
584	3929	2787
585	3931	2777
586	3933	2767
587	3935	2757
588	3937	2747
589	3939	2737
590	3941	2727
591	3944	2718
592	3946	2708
593	3949	2699
594	3950	2689
595	3952	2678
596	3953	2668
597	3959	2661
598	4040	2705
599	4045	2696
600	4053	2691
601	4057	2682
602	4058	2672
603	4061	2663
604	4066	2654
605	4069	2645
606	4072	2636
607	4074	2626
608	4076	2617
609	4078	2607
610	4080	2597
611	4081	2587
612	4082	2577
613	4083	2567
614	4084	2556
615	4122	2569
616	4193	2602
617	4198	2595
618	4200	2585
619	4206	2578
620	4210	2569
621	4213	2560
622	4219	2553
623	4226	2546
624	4227	2536
