iter	Passed	Remaining
165	251	1263
166	252	1257
167	252	1251
168	253	1246
169	254	1241
170	254	1236
171	255	1230
172	256	1225
173	256	1219
174	257	1213
175	258	1208
176	258	1203
177	259	1197
178	260	1193
179	260	1188
180	261	1181
181	261	1176
182	262	1171
183	262	1165
184	263	1160
185	264	1155
186	264	1150
187	265	1145
188	265	1140
189	266	1135
190	267	1131
191	267	1126
192	268	1121
193	268	1116
194	269	1111
195	269	1107
196	270	1102
197	270	1097
198	271	1093
199	272	1088
200	272	1084
201	273	1079
202	273	1074
203	274	1070
204	275	1066
205	275	1062
206	276	1057
207	276	1053
208	277	1048
209	277	1044
210	278	1040
211	278	1036
212	279	1033
213	280	1029
214	280	1025
215	281	1021
216	281	1017
217	282	1013
218	283	1010
219	283	1006
220	284	1003
221	285	1000
222	285	996
223	286	992
224	286	988
225	287	985
226	288	982
227	289	978
228	289	975
229	290	971
230	290	968
231	291	966
232	292	963
233	293	959
234	293	956
235	294	952
236	294	949
237	295	945
238	296	942
239	296	939
240	297	936
241	297	932
242	298	929
243	299	926
244	299	923
245	300	920
246	300	916
247	301	913
248	301	910
249	302	907
250	302	904
251	303	901
252	304	898
253	304	895
254	305	892
255	305	889
256	306	886
257	307	883
258	307	880
259	308	877
260	308	874
261	309	871
262	310	869
263	310	866
264	311	863
265	311	860
266	312	858
267	313	855
268	313	852
269	314	850
270	315	847
271	315	845
272	316	843
273	317	840
274	317	837
275	318	835
276	319	832
277	319	830
278	320	827
279	320	825
280	321	822
281	322	819
282	322	817
283	323	814
284	323	812
285	324	809
286	324	806
287	325	804
288	326	802
289	326	799
290	327	796
291	327	794
292	328	792
293	328	790
294	329	787
295	330	785
296	330	783
297	331	780
298	332	778
299	332	776
300	333	774
301	334	772
302	334	769
303	335	767
304	335	765
305	336	763
306	337	761
307	338	759
308	338	757
309	339	754
310	339	753
311	340	750
312	341	748
313	341	746
314	342	744
315	342	741
316	343	739
317	343	737
318	344	735
319	345	733
320	345	731
321	346	729
322	347	727
323	348	726
324	348	724
325	349	722
326	350	720
327	351	719
328	351	717
329	352	715
330	353	714
331	354	712
332	354	710
333	355	708
334	356	706
335	356	704
336	357	703
337	358	701
338	358	699
339	359	697
340	360	695
341	360	694
342	361	692
343	362	690
344	362	688
345	363	686
346	364	685
347	364	683
348	365	681
349	365	679
350	366	677
351	367	675
352	367	674
353	368	672
354	369	670
355	369	668
356	370	667
357	370	665
358	371	663
359	372	661
360	373	660
361	373	658
362	374	656
363	376	657
364	378	657
365	379	657
366	380	656
367	382	656
368	383	655
369	384	655
370	386	654
371	387	654
372	388	653
373	390	653
374	392	653
375	394	654
376	396	654
377	397	654
378	399	654
379	401	654
380	402	654
381	404	653
382	405	653
383	408	654
384	410	655
385	411	654
386	413	655
387	415	655
388	416	654
389	418	654
390	420	654
391	421	654
392	423	653
393	425	653
394	427	654
395	429	655
396	431	654
397	432	654
398	434	655
399	436	654
400	438	654
401	439	654
402	441	653
403	442	653
404	444	653
405	446	652
406	447	652
407	449	651
408	451	651
409	452	651
410	454	651
411	456	651
412	458	650
413	459	650
414	461	650
415	462	649
416	464	649
417	466	648
418	467	648
419	469	648
420	471	648
421	473	648
422	474	647
423	476	646
424	477	645
425	478	645
426	480	644
427	481	643
428	482	642
429	483	641
430	485	640
431	486	639
432	487	638
433	488	637
434	489	635
435	490	635
436	491	633
437	492	632
438	494	631
439	495	630
440	496	628
441	497	627
442	498	626
443	498	624
444	499	623
445	500	622
446	501	620
447	502	619
448	503	617
449	504	616
450	504	614
451	505	613
452	506	611
453	507	610
454	508	608
455	508	607
456	509	605
457	510	603
458	511	602
459	511	600
460	512	599
461	513	597
462	513	596
463	514	594
464	515	593
465	516	591
466	516	589
467	517	588
468	518	586
469	519	585
470	519	583
471	520	582
472	521	580
473	521	579
474	522	577
475	523	576
476	524	574
477	524	573
478	525	571
479	526	570
480	526	568
481	527	567
482	528	565
483	529	564
484	529	562
485	530	561
486	531	559
487	532	558
488	533	557
489	533	555
490	534	554
491	535	552
492	536	551
493	536	549
